전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,덕진동1가,사평로,1,1,1,1,1,1,1,1,1,1
월세,덕진동2가,가련산로,1,1,1,1,1,1,1,1,1,1
월세,덕진동2가,가리내10길,4,4,4,4,4,4,4,4,4,4
월세,덕진동2가,가리내1길,6,6,6,6,6,6,6,6,5,6
월세,덕진동2가,가리내2길,14,14,14,14,14,14,14,14,13,14
월세,덕진동2가,가리내3길,26,26,26,26,26,26,26,26,23,26
월세,덕진동2가,가리내4길,3,3,3,3,3,3,3,3,3,3
월세,덕진동2가,가리내5길,11,11,11,11,11,11,11,11,11,11
월세,덕진동2가,가리내6길,24,24,24,24,24,24,24,24,22,24
월세,덕진동2가,가리내7길,3,3,3,3,3,3,3,3,3,3
월세,덕진동2가,가리내8길,24,24,24,24,24,24,24,24,21,24
월세,덕진동2가,가리내9길,5,5,5,5,5,5,5,5,4,5
월세,덕진동2가,경동로,1,1,1,1,1,1,1,1,1,1
월세,덕진동2가,권삼득로,4,4,4,4,4,4,4,4,4,4
월세,덕진동2가,기린대로,5,5,5,5,5,5,5,5,3,5
월세,덕진동2가,하가1길,4,4,4,4,4,4,4,4,4,4
월세,덕진동2가,하가3길,2,2,2,2,2,2,2,2,2,2
월세,덕진동2가,하가로,11,11,11,11,11,11,11,11,10,11
월세,덕진동2가,호반2길,4,4,4,4,4,4,4,4,4,4
월세,덕진동2가,호반4길,1,1,1,1,1,1,1,1,0,1
월세,덕진동2가,호반5길,6,6,6,6,6,6,6,6,3,6
월세,덕진동2가,호반6길,15,15,15,15,15,15,15,15,12,15
월세,덕진동2가,호반7길,2,2,2,2,2,2,2,2,2,2
월세,덕진동2가,호반8길,6,6,6,6,6,6,6,6,5,6
월세,만성동,두현길,14,14,14,14,14,14,14,14,14,14
월세,만성동,만성남2길,6,6,6,6,6,6,6,6,5,6
월세,만성동,만성남5길,2,2,2,2,2,2,2,2,2,2
월세,만성동,만성남6길,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성남7길,2,2,2,2,2,2,2,2,2,2
월세,만성동,만성남8길,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성남9길,2,2,2,2,2,2,2,2,2,2
월세,만성동,만성남로,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성로,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성북1길,6,6,6,6,6,6,6,6,5,6
월세,만성동,만성북2길,4,4,4,4,4,4,4,4,4,4
월세,만성동,만성북3길,1,1,1,1,1,1,1,1,0,1
월세,만성동,만성북로,1,1,1,1,1,1,1,1,0,1
월세,만성동,만성중앙로,2,2,2,2,2,2,2,2,2,2
