전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,효자동3가,척동6길,8,8,8,8,8,8,8,8,8,8
월세,효자동3가,척동7길,16,16,16,16,16,16,16,16,15,16
월세,효자동3가,척동8길,16,16,16,16,16,16,16,16,15,16
월세,효자동3가,척동9길,5,5,5,5,5,5,5,5,4,5
월세,효자동3가,척동길,17,17,17,17,17,17,17,17,13,17
월세,효자동3가,천잠로,1,1,1,1,1,1,1,1,1,1
월세,효자동3가,홍산로,1,1,1,1,1,1,1,1,0,1
월세,효자동3가,황강서원1길,5,5,5,5,5,5,5,5,5,5
월세,효자동3가,황강서원2길,17,17,17,17,17,17,17,17,17,17
월세,효자동3가,황강서원3길,1,1,1,1,1,1,1,1,1,1
월세,효자동3가,황강서원4길,21,21,21,21,21,21,21,21,20,21
월세,효자동3가,황강서원5길,10,10,10,10,10,10,10,10,9,10
월세,효자동3가,황강서원로,21,21,21,21,21,21,21,21,20,21
월세,효자동3가,효자로,5,5,5,5,5,5,5,5,4,5
전세,경원동2가,동문길,1,1,1,1,1,1,1,1,1,1
전세,경원동3가,현무1길,3,3,3,3,3,3,3,3,3,3
전세,경원동3가,현무3길,1,1,1,1,1,1,1,1,1,1
전세,고사동,전주객사2길,1,1,1,1,1,1,1,1,1,1
전세,고사동,전주객사4길,2,2,2,2,2,2,2,2,2,2
전세,고사동,전주객사5길,1,1,1,1,1,1,1,1,1,1
전세,교동,낙수정2길,1,1,1,1,1,1,1,1,0,1
전세,남노송동,간납대1길,1,1,1,1,1,1,1,1,1,1
전세,남노송동,관선1길,3,3,3,3,3,3,3,3,3,3
전세,남노송동,관선3길,7,7,7,7,7,7,7,7,6,7
전세,남노송동,관선5길,1,1,1,1,1,1,1,1,1,1
전세,남노송동,마당재1길,6,6,6,6,6,6,6,6,5,6
전세,남노송동,마당재2길,2,2,2,2,2,2,2,2,2,2
전세,다가동3가,전주객사1길,3,3,3,3,3,3,3,3,3,3
전세,대성동,객원길,1,1,1,1,1,1,1,1,1,1
전세,동서학동,서학4길,1,1,1,1,1,1,1,1,0,1
전세,동서학동,서학로,1,1,1,1,1,1,1,1,1,1
전세,동서학동,장승배기로,1,1,1,1,1,1,1,1,1,1
전세,동서학동,전주천서로,1,1,1,1,1,1,1,1,1,1
전세,동서학동,천경로,1,1,1,1,1,1,1,1,1,1
전세,동서학동,학봉1길,1,1,1,1,1,1,1,1,0,1
전세,동서학동,황학5길,5,5,5,5,5,5,5,5,3,5
전세,동완산동,전주천서로,1,1,1,1,1,1,1,1,1,1
전세,삼천동1가,거마남로,3,3,3,3,3,3,3,3,3,3
전세,삼천동1가,거마산1길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,거마산2길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,거마산로,4,4,4,4,4,4,4,4,3,4
전세,삼천동1가,거마서로,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,거마중앙로,3,3,3,3,3,3,3,3,3,3
전세,삼천동1가,삼천천변1길,1,1,1,1,1,1,1,1,1,1
전세,삼천동1가,삼천천변2길,3,3,3,3,3,3,3,3,3,3
전세,삼천동1가,삼천천변3길,1,1,1,1,1,1,1,1,1,1
전세,삼천동1가,상거마1길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,상거마2길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,상거마3길,4,4,4,4,4,4,4,4,3,4
전세,삼천동1가,상거마4길,3,3,3,3,3,3,3,3,2,3
전세,삼천동1가,솟대1길,5,5,5,5,5,5,5,5,4,5
전세,삼천동1가,솟대2길,13,13,13,13,13,13,13,13,11,13
전세,삼천동1가,송정1길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,송정2길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,송정3길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,송정로,7,7,7,7,7,7,7,7,6,7
전세,삼천동1가,안행2길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,안행4길,3,3,3,3,3,3,3,3,3,3
전세,삼천동1가,안행6길,2,2,2,2,2,2,2,2,1,2
전세,삼천동1가,안행8길,2,2,2,2,2,2,2,2,2,2
전세,삼천동1가,양지2길,1,1,1,1,1,1,1,1,1,1
전세,삼천동1가,용리로,3,3,3,3,3,3,3,3,2,3
전세,삼천동1가,하거마1길,1,1,1,1,1,1,1,1,1,1
전세,삼천동1가,하거마2길,8,8,8,8,8,8,8,8,8,8
전세,삼천동1가,하거마3길,4,4,4,4,4,4,4,4,4,4
전세,삼천동1가,하거마4길,5,5,5,5,5,5,5,5,4,5
전세,삼천동1가,하거마5길,6,6,6,6,6,6,6,6,4,6
전세,삼천동1가,하거마6길,3,3,3,3,3,3,3,3,3,3
전세,삼천동1가,하거마7길,1,1,1,1,1,1,1,1,1,1
전세,삼천동2가,비아길,1,1,1,1,1,1,1,1,1,1
전세,삼천동2가,정동길,1,1,1,1,1,1,1,1,1,1
전세,서노송동,물왕멀3길,2,2,2,2,2,2,2,2,2,2
전세,서노송동,물왕멀4길,4,4,4,4,4,4,4,4,4,4
전세,서서학동,공수내1길,1,1,1,1,1,1,1,1,0,1
전세,서서학동,공수내2길,1,1,1,1,1,1,1,1,1,1
전세,서서학동,공수내로,1,1,1,1,1,1,1,1,1,1
전세,서서학동,서학2길,3,3,3,3,3,3,3,3,2,3
전세,서서학동,학봉1길,1,1,1,1,1,1,1,1,0,1
